Date,Datasource,Campaign,Clicks,Impressions
01.01.2019,Facebook Ads,Like Ads,274,1979
01.01.2019,Facebook Ads,Offer Campaigns - Conversions,10245,764627
01.01.2019,Google Adwords,B2B - Leads,7,444
01.01.2019,Google Adwords,GDN Prospecting - App - Prio 1 Offer,16,12535
01.01.2019,Google Adwords,GDN Prospecting - App - Prio 2 Offer,93,18866
01.01.2019,Google Adwords,GDN Prospecting - Desktop - India Offer,72,59558
01.01.2019,Google Adwords,GDN Prospecting - Desktop - Prio 1 Offer,65,34592
01.01.2019,Google Adwords,GDN Prospecting - Desktop - Prio 2 Offer,26,20901
01.01.2019,Google Adwords,GDN Prospecting - Desktop - Prio 3 Offer,87,47845
01.01.2019,Google Adwords,GDN Prospecting - Desktop - Prio 4 Offer,263,106641
01.01.2019,Google Adwords,GDN Prospecting - Interstitials - Prio 1 Offer,19,11483
01.01.2019,Google Adwords,GDN Prospecting - Interstitials - Prio 2 Offer,90,19809
01.01.2019,Google Adwords,GDN Prospecting - Mobile - Prio 1 Offer,46,17143
01.01.2019,Google Adwords,GDN Prospecting - Mobile - Prio 2 Offer,266,25319
01.01.2019,Google Adwords,GDN Prospecting - Mobile - Prio 3 Offer,154,24073
01.01.2019,Google Adwords,GDN Prospecting - Mobile - Prio 4 Offer,343,17808
01.01.2019,Google Adwords,GDN RMKT - App - Prio 1 Offer,6,1589
01.01.2019,Google Adwords,GDN RMKT - App - Prio 2 Offer,29,4021
01.01.2019,Google Adwords,GDN RMKT - Desktop - India Offer,1,392
01.01.2019,Google Adwords,GDN RMKT - Desktop - Prio 1 Offer,1,505
01.01.2019,Google Adwords,GDN RMKT - Desktop - Prio 3 Offer,31,10149
01.01.2019,Google Adwords,GDN RMKT - Desktop - Prio 4 Offer,5,1132
01.01.2019,Google Adwords,GDN RMKT - Interstitials - Prio 1 Offer,6,680
01.01.2019,Google Adwords,GDN RMKT - Interstitials - Prio 2 Offer,17,2672
01.01.2019,Google Adwords,GDN RMKT - Mobile - Prio 1 Offer,4,720
01.01.2019,Google Adwords,GDN RMKT - Mobile - Prio 2 Offer,13,2619
01.01.2019,Google Adwords,GDN RMKT - Mobile - Prio 3 Offer,34,3284
01.01.2019,Google Adwords,GDN RMKT - Mobile - Prio 4 Offer,73,4686
01.01.2019,Google Adwords,New General Campaign - Africa - Desktop,9,165
01.01.2019,Google Adwords,New General Campaign - Africa - Mobile,37,542
01.01.2019,Google Adwords,New General Campaign - Arab - Desktop,1,58
01.01.2019,Google Adwords,New General Campaign - Arab - Mobile,5,42
01.01.2019,Google Adwords,New General Campaign - Asia - Desktop,8,82
01.01.2019,Google Adwords,New General Campaign - Asia - Mobile,3,59
01.01.2019,Google Adwords,New General Campaign - AUS - Desktop,6,548
01.01.2019,Google Adwords,New General Campaign - AUS - Mobile,7,281
01.01.2019,Google Adwords,New General Campaign - AUT - Desktop,11,330
01.01.2019,Google Adwords,New General Campaign - AUT - Mobile,10,332
01.01.2019,Google Adwords,New General Campaign - BEL - Desktop,3,94
01.01.2019,Google Adwords,New General Campaign - BEL - Mobile,3,79
01.01.2019,Google Adwords,New General Campaign - BUL - Desktop,5,100
01.01.2019,Google Adwords,New General Campaign - BUL - Mobile,7,128
01.01.2019,Google Adwords,New General Campaign - CAN - Desktop,11,252
01.01.2019,Google Adwords,New General Campaign - CAN - Mobile,26,693
01.01.2019,Google Adwords,New General Campaign - CH - Desktop,6,176
01.01.2019,Google Adwords,New General Campaign - CH - Mobile,1,71
01.01.2019,Google Adwords,New General Campaign - CRO - Desktop,3,107
01.01.2019,Google Adwords,New General Campaign - CRO - Mobile,3,85
01.01.2019,Google Adwords,New General Campaign - CZE - Mobile,1,150
01.01.2019,Google Adwords,New General Campaign - DEN - Desktop,3,74
01.01.2019,Google Adwords,New General Campaign - DEN - Mobile,3,59
01.01.2019,Google Adwords,New General Campaign - ESP - Desktop,8,401
01.01.2019,Google Adwords,New General Campaign - ESP - Mobile,4,118
01.01.2019,Google Adwords,New General Campaign - Europe - Desktop,29,932
01.01.2019,Google Adwords,New General Campaign - Europe - Mobile,16,512
01.01.2019,Google Adwords,New General Campaign - FRA - Desktop,6,307
01.01.2019,Google Adwords,New General Campaign - FRA - Mobile,9,153
01.01.2019,Google Adwords,New General Campaign - GER - Desktop,47,1469
01.01.2019,Google Adwords,New General Campaign - GER - Mobile,51,1149
01.01.2019,Google Adwords,New General Campaign - GRE - Desktop,6,182
01.01.2019,Google Adwords,New General Campaign - GRE - Mobile,2,72
01.01.2019,Google Adwords,New General Campaign - HKG - Mobile,2,76
01.01.2019,Google Adwords,New General Campaign - HUN - Desktop,2,107
01.01.2019,Google Adwords,New General Campaign - HUN - Mobile,4,100
01.01.2019,Google Adwords,New General Campaign - IND - Desktop,62,1728
01.01.2019,Google Adwords,New General Campaign - IND - Mobile,233,2666
01.01.2019,Google Adwords,New General Campaign - IRE - Desktop,2,97
01.01.2019,Google Adwords,New General Campaign - IRE - Mobile,1,114
01.01.2019,Google Adwords,New General Campaign - ISR - Desktop,2,114
01.01.2019,Google Adwords,New General Campaign - ISR - Mobile,4,80
01.01.2019,Google Adwords,New General Campaign - ITA - Desktop,30,561
01.01.2019,Google Adwords,New General Campaign - ITA - Mobile,37,677
01.01.2019,Google Adwords,New General Campaign - JPN - Desktop,1,14
01.01.2019,Google Adwords,New General Campaign - Latin - Desktop,6,342
